Provincias;Periodo;Total
37 Salamanca;2010;3
37 Salamanca;2009;3
37 Salamanca;2008;7
37 Salamanca;2007;2
37 Salamanca;2006;2
37 Salamanca;2005;""
38 Santa Cruz de Tenerife;2020;65
38 Santa Cruz de Tenerife;2019;94
38 Santa Cruz de Tenerife;2018;78
38 Santa Cruz de Tenerife;2017;75
38 Santa Cruz de Tenerife;2016;85
38 Santa Cruz de Tenerife;2015;55
38 Santa Cruz de Tenerife;2014;59
38 Santa Cruz de Tenerife;2013;52
38 Santa Cruz de Tenerife;2012;42
38 Santa Cruz de Tenerife;2011;36
38 Santa Cruz de Tenerife;2010;33
38 Santa Cruz de Tenerife;2009;41
38 Santa Cruz de Tenerife;2008;30
38 Santa Cruz de Tenerife;2007;33
38 Santa Cruz de Tenerife;2006;29
38 Santa Cruz de Tenerife;2005;7
40 Segovia;2020;3
40 Segovia;2019;4
40 Segovia;2018;3
40 Segovia;2017;6
40 Segovia;2016;4
40 Segovia;2015;3
40 Segovia;2014;2
40 Segovia;2013;2
40 Segovia;2012;2
40 Segovia;2011;5
40 Segovia;2010;6
40 Segovia;2009;1
40 Segovia;2008;1
40 Segovia;2007;1
40 Segovia;2006;4
40 Segovia;2005;1
41 Sevilla;2020;87
41 Sevilla;2019;123
41 Sevilla;2018;115
41 Sevilla;2017;104
41 Sevilla;2016;113
41 Sevilla;2015;83
41 Sevilla;2014;76
41 Sevilla;2013;64
41 Sevilla;2012;59
41 Sevilla;2011;57
41 Sevilla;2010;38
41 Sevilla;2009;42
41 Sevilla;2008;48
41 Sevilla;2007;53
41 Sevilla;2006;64
41 Sevilla;2005;15
42 Soria;2020;2
42 Soria;2019;3
42 Soria;2018;3
42 Soria;2017;""
42 Soria;2016;1
42 Soria;2015;2
42 Soria;2014;""
42 Soria;2013;1
42 Soria;2012;""
42 Soria;2011;1
42 Soria;2010;""
42 Soria;2009;""
42 Soria;2008;""
42 Soria;2007;1
42 Soria;2006;""
42 Soria;2005;""
43 Tarragona;2020;29
43 Tarragona;2019;38
43 Tarragona;2018;39
43 Tarragona;2017;26
43 Tarragona;2016;28
43 Tarragona;2015;34
43 Tarragona;2014;21
43 Tarragona;2013;29
43 Tarragona;2012;39
43 Tarragona;2011;29
43 Tarragona;2010;24
43 Tarragona;2009;21
43 Tarragona;2008;19
43 Tarragona;2007;22
43 Tarragona;2006;24
43 Tarragona;2005;11
44 Teruel;2020;2
44 Teruel;2019;2
44 Teruel;2018;1
44 Teruel;2017;1
44 Teruel;2016;1
44 Teruel;2015;""
44 Teruel;2014;2
44 Teruel;2013;""
44 Teruel;2012;1
44 Teruel;2011;""
44 Teruel;2010;2
44 Teruel;2009;1
44 Teruel;2008;1
44 Teruel;2007;1
44 Teruel;2006;1
44 Teruel;2005;""
45 Toledo;2020;13
45 Toledo;2019;23
45 Toledo;2018;31
45 Toledo;2017;24
45 Toledo;2016;20
45 Toledo;2015;17
45 Toledo;2014;19
45 Toledo;2013;13
45 Toledo;2012;23
45 Toledo;2011;17
45 Toledo;2010;9
45 Toledo;2009;9
45 Toledo;2008;6
45 Toledo;2007;4
45 Toledo;2006;5
45 Toledo;2005;3
46 Valencia/València;2020;138
46 Valencia/València;2019;146
46 Valencia/València;2018;167
46 Valencia/València;2017;142
46 Valencia/València;2016;144
46 Valencia/València;2015;126
46 Valencia/València;2014;114
46 Valencia/València;2013;88
46 Valencia/València;2012;107
46 Valencia/València;2011;121
46 Valencia/València;2010;78
46 Valencia/València;2009;78
46 Valencia/València;2008;68
46 Valencia/València;2007;79
46 Valencia/València;2006;85
46 Valencia/València;2005;36
47 Valladolid;2020;12
47 Valladolid;2019;16
47 Valladolid;2018;12
47 Valladolid;2017;12
47 Valladolid;2016;10
47 Valladolid;2015;10
47 Valladolid;2014;7
47 Valladolid;2013;3
47 Valladolid;2012;9
47 Valladolid;2011;7
47 Valladolid;2010;7
47 Valladolid;2009;4
47 Valladolid;2008;4
47 Valladolid;2007;3
47 Valladolid;2006;5
47 Valladolid;2005;2
49 Zamora;2020;""
49 Zamora;2019;""
49 Zamora;2018;1
49 Zamora;2017;1
49 Zamora;2016;1
49 Zamora;2015;2
49 Zamora;2014;""
49 Zamora;2013;1
49 Zamora;2012;""
49 Zamora;2011;""
49 Zamora;2010;""
49 Zamora;2009;1
49 Zamora;2008;""
49 Zamora;2007;1
49 Zamora;2006;1
49 Zamora;2005;""
50 Zaragoza;2020;20
50 Zaragoza;2019;32
50 Zaragoza;2018;34
50 Zaragoza;2017;27
50 Zaragoza;2016;26
50 Zaragoza;2015;23
50 Zaragoza;2014;26
50 Zaragoza;2013;26
50 Zaragoza;2012;21
50 Zaragoza;2011;21
50 Zaragoza;2010;28
50 Zaragoza;2009;22
50 Zaragoza;2008;12
50 Zaragoza;2007;14
50 Zaragoza;2006;20
50 Zaragoza;2005;4
51 Ceuta;2020;1
51 Ceuta;2019;1
51 Ceuta;2018;""
51 Ceuta;2017;2
51 Ceuta;2016;1
51 Ceuta;2015;""
51 Ceuta;2014;1
51 Ceuta;2013;""
51 Ceuta;2012;2
51 Ceuta;2011;1
51 Ceuta;2010;1
51 Ceuta;2009;2
51 Ceuta;2008;1
51 Ceuta;2007;1
51 Ceuta;2006;""
51 Ceuta;2005;1
52 Melilla;2020;1
52 Melilla;2019;3
52 Melilla;2018;7
52 Melilla;2017;2
52 Melilla;2016;2
52 Melilla;2015;2
52 Melilla;2014;2
52 Melilla;2013;""
52 Melilla;2012;""
52 Melilla;2011;2
52 Melilla;2010;""
52 Melilla;2009;3
52 Melilla;2008;2
52 Melilla;2007;2
52 Melilla;2006;""
52 Melilla;2005;""
No residente;2020;5
No residente;2019;9
No residente;2018;19
No residente;2017;18
No residente;2016;11
No residente;2015;12
No residente;2014;14
No residente;2013;7
No residente;2012;17
No residente;2011;13
No residente;2010;14
No residente;2009;6
No residente;2008;12
No residente;2007;12
No residente;2006;6
No residente;2005;2
