Provincias;Periodo;Total
50 Zaragoza;2005;9
51 Ceuta;2020;3
51 Ceuta;2019;4
51 Ceuta;2018;2
51 Ceuta;2017;1
51 Ceuta;2016;2
51 Ceuta;2015;1
51 Ceuta;2014;""
51 Ceuta;2013;""
51 Ceuta;2012;""
51 Ceuta;2011;2
51 Ceuta;2010;2
51 Ceuta;2009;1
51 Ceuta;2008;2
51 Ceuta;2007;""
51 Ceuta;2006;""
51 Ceuta;2005;1
52 Melilla;2020;""
52 Melilla;2019;2
52 Melilla;2018;""
52 Melilla;2017;1
52 Melilla;2016;1
52 Melilla;2015;1
52 Melilla;2014;""
52 Melilla;2013;1
52 Melilla;2012;""
52 Melilla;2011;1
52 Melilla;2010;1
52 Melilla;2009;1
52 Melilla;2008;1
52 Melilla;2007;2
52 Melilla;2006;1
52 Melilla;2005;""
No residente;2020;17
No residente;2019;19
No residente;2018;23
No residente;2017;29
No residente;2016;25
No residente;2015;30
No residente;2014;39
No residente;2013;27
No residente;2012;29
No residente;2011;23
No residente;2010;35
No residente;2009;24
No residente;2008;25
No residente;2007;34
No residente;2006;36
No residente;2005;13
