Provincias;Periodo;Total
11 Cádiz;2003;6.604
11 Cádiz;2002;6.521
11 Cádiz;2001;6.360
11 Cádiz;2000;6.519
11 Cádiz;1999;6.105
11 Cádiz;1998;5.819
11 Cádiz;1997;5.596
11 Cádiz;1996;5.587
11 Cádiz;1995;5.835
11 Cádiz;1994;5.827
11 Cádiz;1993;5.582
11 Cádiz;1992;6.332
11 Cádiz;1991;6.614
11 Cádiz;1990;6.848
11 Cádiz;1989;6.614
11 Cádiz;1988;6.443
11 Cádiz;1987;6.659
11 Cádiz;1986;6.561
11 Cádiz;1985;6.139
11 Cádiz;1984;6.316
11 Cádiz;1983;6.550
11 Cádiz;1982;6.207
11 Cádiz;1981;6.655
11 Cádiz;1980;6.992
11 Cádiz;1979;7.176
11 Cádiz;1978;7.581
11 Cádiz;1977;7.474
11 Cádiz;1976;7.359
11 Cádiz;1975;7.202
39 Cantabria;2020;1.111
39 Cantabria;2019;1.951
39 Cantabria;2018;2.067
39 Cantabria;2017;2.079
39 Cantabria;2016;2.228
39 Cantabria;2015;2.124
39 Cantabria;2014;2.069
39 Cantabria;2013;1.936
39 Cantabria;2012;2.326
39 Cantabria;2011;2.184
39 Cantabria;2010;2.500
39 Cantabria;2009;2.581
39 Cantabria;2008;2.936
39 Cantabria;2007;2.948
39 Cantabria;2006;2.822
39 Cantabria;2005;2.876
39 Cantabria;2004;2.902
39 Cantabria;2003;2.864
39 Cantabria;2002;2.897
39 Cantabria;2001;2.742
39 Cantabria;2000;2.728
39 Cantabria;1999;2.611
39 Cantabria;1998;2.521
39 Cantabria;1997;2.353
39 Cantabria;1996;2.369
39 Cantabria;1995;2.266
39 Cantabria;1994;2.302
39 Cantabria;1993;2.310
39 Cantabria;1992;2.572
39 Cantabria;1991;2.530
39 Cantabria;1990;2.694
39 Cantabria;1989;2.692
39 Cantabria;1988;2.665
39 Cantabria;1987;2.496
39 Cantabria;1986;2.570
39 Cantabria;1985;2.605
39 Cantabria;1984;2.796
39 Cantabria;1983;2.807
39 Cantabria;1982;2.931
39 Cantabria;1981;2.950
39 Cantabria;1980;3.255
39 Cantabria;1979;3.472
39 Cantabria;1978;3.703
39 Cantabria;1977;3.924
39 Cantabria;1976;3.733
39 Cantabria;1975;3.767
12 Castellón/Castelló;2020;1.123
12 Castellón/Castelló;2019;2.029
12 Castellón/Castelló;2018;1.892
12 Castellón/Castelló;2017;2.022
12 Castellón/Castelló;2016;2.007
12 Castellón/Castelló;2015;1.992
12 Castellón/Castelló;2014;1.922
12 Castellón/Castelló;2013;1.763
12 Castellón/Castelló;2012;1.880
12 Castellón/Castelló;2011;1.805
12 Castellón/Castelló;2010;2.037
12 Castellón/Castelló;2009;2.135
12 Castellón/Castelló;2008;2.484
12 Castellón/Castelló;2007;2.695
12 Castellón/Castelló;2006;2.638
12 Castellón/Castelló;2005;2.708
12 Castellón/Castelló;2004;2.814
12 Castellón/Castelló;2003;2.863
12 Castellón/Castelló;2002;2.784
12 Castellón/Castelló;2001;2.672
12 Castellón/Castelló;2000;2.865
12 Castellón/Castelló;1999;2.614
12 Castellón/Castelló;1998;2.640
12 Castellón/Castelló;1997;2.359
