Provincias,Periodo,Total,Sexo,id_gen
13 Ciudad Real,2017,1659,Mujer-Hombre,0
13 Ciudad Real,2016,1722,Mujer-Hombre,0
13 Ciudad Real,2015,1651,Mujer-Hombre,0
13 Ciudad Real,2014,1557,Mujer-Hombre,0
13 Ciudad Real,2013,1527,Mujer-Hombre,0
13 Ciudad Real,2012,1731,Mujer-Hombre,0
13 Ciudad Real,2011,1633,Mujer-Hombre,0
13 Ciudad Real,2010,1748,Mujer-Hombre,0
13 Ciudad Real,2009,1918,Mujer-Hombre,0
13 Ciudad Real,2008,2228,Mujer-Hombre,0
13 Ciudad Real,2007,2321,Mujer-Hombre,0
13 Ciudad Real,2006,2257,Mujer-Hombre,0
13 Ciudad Real,2005,2330,Mujer-Hombre,0
14 Córdoba,2020,1193,Mujer-Hombre,0
14 Córdoba,2019,2750,Mujer-Hombre,0
14 Córdoba,2018,2769,Mujer-Hombre,0
14 Córdoba,2017,2841,Mujer-Hombre,0
14 Córdoba,2016,2952,Mujer-Hombre,0
14 Córdoba,2015,2701,Mujer-Hombre,0
14 Córdoba,2014,2550,Mujer-Hombre,0
14 Córdoba,2013,2336,Mujer-Hombre,0
14 Córdoba,2012,2708,Mujer-Hombre,0
14 Córdoba,2011,2760,Mujer-Hombre,0
14 Córdoba,2010,2911,Mujer-Hombre,0
14 Córdoba,2009,3290,Mujer-Hombre,0
14 Córdoba,2008,3893,Mujer-Hombre,0
14 Córdoba,2007,3971,Mujer-Hombre,0
14 Córdoba,2006,4042,Mujer-Hombre,0
14 Córdoba,2005,3979,Mujer-Hombre,0
"15 Coruña, A",2020,2400,Mujer-Hombre,0
"15 Coruña, A",2019,4034,Mujer-Hombre,0
"15 Coruña, A",2018,3879,Mujer-Hombre,0
"15 Coruña, A",2017,4055,Mujer-Hombre,0
"15 Coruña, A",2016,4120,Mujer-Hombre,0
"15 Coruña, A",2015,4120,Mujer-Hombre,0
"15 Coruña, A",2014,3963,Mujer-Hombre,0
"15 Coruña, A",2013,3789,Mujer-Hombre,0
"15 Coruña, A",2012,4292,Mujer-Hombre,0
"15 Coruña, A",2011,4077,Mujer-Hombre,0
"15 Coruña, A",2010,4290,Mujer-Hombre,0
"15 Coruña, A",2009,4397,Mujer-Hombre,0
"15 Coruña, A",2008,4741,Mujer-Hombre,0
"15 Coruña, A",2007,4749,Mujer-Hombre,0
"15 Coruña, A",2006,4776,Mujer-Hombre,0
"15 Coruña, A",2005,4683,Mujer-Hombre,0
16 Cuenca,2020,243,Mujer-Hombre,0
16 Cuenca,2019,547,Mujer-Hombre,0
16 Cuenca,2018,567,Mujer-Hombre,0
16 Cuenca,2017,489,Mujer-Hombre,0
16 Cuenca,2016,544,Mujer-Hombre,0
16 Cuenca,2015,582,Mujer-Hombre,0
16 Cuenca,2014,566,Mujer-Hombre,0
16 Cuenca,2013,553,Mujer-Hombre,0
16 Cuenca,2012,609,Mujer-Hombre,0
16 Cuenca,2011,557,Mujer-Hombre,0
16 Cuenca,2010,592,Mujer-Hombre,0
16 Cuenca,2009,572,Mujer-Hombre,0
16 Cuenca,2008,688,Mujer-Hombre,0
16 Cuenca,2007,699,Mujer-Hombre,0
16 Cuenca,2006,699,Mujer-Hombre,0
16 Cuenca,2005,738,Mujer-Hombre,0
20 Gipuzkoa,2020,1332,Mujer-Hombre,0
20 Gipuzkoa,2019,2496,Mujer-Hombre,0
20 Gipuzkoa,2018,2484,Mujer-Hombre,0
20 Gipuzkoa,2017,2581,Mujer-Hombre,0
20 Gipuzkoa,2016,2492,Mujer-Hombre,0
20 Gipuzkoa,2015,2450,Mujer-Hombre,0
20 Gipuzkoa,2014,2504,Mujer-Hombre,0
20 Gipuzkoa,2013,2477,Mujer-Hombre,0
20 Gipuzkoa,2012,2659,Mujer-Hombre,0
20 Gipuzkoa,2011,2742,Mujer-Hombre,0
20 Gipuzkoa,2010,2825,Mujer-Hombre,0
20 Gipuzkoa,2009,2981,Mujer-Hombre,0
20 Gipuzkoa,2008,3068,Mujer-Hombre,0
20 Gipuzkoa,2007,3093,Mujer-Hombre,0
20 Gipuzkoa,2006,3191,Mujer-Hombre,0
20 Gipuzkoa,2005,3300,Mujer-Hombre,0
17 Girona,2020,1600,Mujer-Hombre,0
17 Girona,2019,2820,Mujer-Hombre,0
17 Girona,2018,2770,Mujer-Hombre,0
17 Girona,2017,2810,Mujer-Hombre,0
17 Girona,2016,2776,Mujer-Hombre,0
17 Girona,2015,2838,Mujer-Hombre,0
17 Girona,2014,2815,Mujer-Hombre,0
17 Girona,2013,2597,Mujer-Hombre,0
17 Girona,2012,2526,Mujer-Hombre,0
17 Girona,2011,2534,Mujer-Hombre,0
17 Girona,2010,2499,Mujer-Hombre,0
17 Girona,2009,2674,Mujer-Hombre,0
17 Girona,2008,2840,Mujer-Hombre,0
17 Girona,2007,2865,Mujer-Hombre,0
17 Girona,2006,2853,Mujer-Hombre,0
17 Girona,2005,2826,Mujer-Hombre,0
18 Granada,2020,1448,Mujer-Hombre,0
18 Granada,2019,3078,Mujer-Hombre,0
18 Granada,2018,2986,Mujer-Hombre,0
18 Granada,2017,3125,Mujer-Hombre,0
18 Granada,2016,3183,Mujer-Hombre,0
18 Granada,2015,3137,Mujer-Hombre,0
18 Granada,2014,3099,Mujer-Hombre,0
18 Granada,2013,2747,Mujer-Hombre,0
18 Granada,2012,3020,Mujer-Hombre,0
18 Granada,2011,2814,Mujer-Hombre,0
18 Granada,2010,2976,Mujer-Hombre,0
18 Granada,2009,3201,Mujer-Hombre,0
18 Granada,2008,3783,Mujer-Hombre,0
18 Granada,2007,4177,Mujer-Hombre,0
18 Granada,2006,4084,Mujer-Hombre,0
18 Granada,2005,4281,Mujer-Hombre,0
19 Guadalajara,2020,520,Mujer-Hombre,0
19 Guadalajara,2019,953,Mujer-Hombre,0
19 Guadalajara,2018,976,Mujer-Hombre,0
